datasetName,substringLength,sampleSize,profileParam,useAllLanguages,af,ar,bg,bn,ca,cs,da,de,el,en,es,et,fa,fi,fr,gu,he,hi,hr,hu,id,it,ja,kn,ko,lt,lv,mk,ml,mr,ne,nl,no,pa,pl,pt,ro,ru,si,sk,sl,so,sq,sv,sw,ta,te,th,tl,tr,uk,ur,vi,zh-cn,zh-tw
udhr,5,100,short-text,false,NaN,0.83,0.45,1.0,NaN,0.65,0.31,0.41,1.0,0.33,0.35,0.39,0.67,0.48,0.45,1.0,1.0,1.0,0.65,0.53,0.41,0.39,0.91,NaN,1.0,0.46,0.58,0.52,1.0,NaN,NaN,0.47,0.15,1.0,0.58,0.36,0.57,0.41,NaN,NaN,NaN,NaN,0.65,0.33,NaN,1.0,1.0,1.0,0.65,0.49,0.65,0.63,0.89,0.99,0.69
udhr,5,100,short-text,true,NaN,0.83,0.45,1.0,0.17,0.65,0.31,0.41,1.0,0.33,0.3,0.39,0.67,0.48,0.42,1.0,1.0,1.0,0.64,0.53,0.41,0.38,0.91,NaN,1.0,0.46,0.58,0.52,1.0,NaN,NaN,0.47,0.15,1.0,0.58,0.36,0.56,0.41,1.0,NaN,NaN,NaN,0.65,0.33,NaN,1.0,1.0,1.0,0.65,0.49,0.65,0.63,0.89,0.99,0.69
udhr,10,100,,false,NaN,0.98,0.53,1.0,NaN,0.83,0.6,0.77,1.0,0.68,0.48,0.81,0.77,0.83,0.79,1.0,1.0,1.0,0.84,0.79,0.78,0.78,0.96,NaN,1.0,0.77,0.9,0.84,1.0,NaN,NaN,0.77,0.46,1.0,0.92,0.6,0.75,0.72,NaN,NaN,NaN,NaN,0.84,0.62,NaN,1.0,1.0,1.0,0.87,0.75,0.68,0.87,1.0,1.0,0.77
udhr,10,100,,true,0.6,0.98,0.53,1.0,NaN,0.61,0.6,0.76,1.0,0.68,0.45,0.81,0.77,0.83,0.79,1.0,1.0,0.69,0.69,0.77,0.7,0.77,0.96,1.0,1.0,0.75,0.9,0.84,1.0,0.79,0.8,0.59,0.46,1.0,0.9,0.59,0.74,0.72,NaN,0.73,0.55,0.88,0.83,0.59,0.71,1.0,1.0,1.0,0.84,0.75,0.68,0.87,0.99,1.0,0.77
udhr,10,100,merged-average,false,NaN,0.97,0.56,1.0,NaN,0.83,0.59,0.78,1.0,0.65,0.53,0.82,0.77,0.84,0.8,1.0,1.0,1.0,0.91,0.81,0.79,0.79,0.96,NaN,1.0,0.74,0.88,0.86,1.0,NaN,NaN,0.75,0.48,1.0,0.93,0.62,0.77,0.76,NaN,NaN,NaN,NaN,0.84,0.62,NaN,1.0,1.0,1.0,0.87,0.74,0.71,0.86,0.99,1.0,0.88
udhr,10,100,merged-average,true,0.59,0.97,0.56,1.0,0.45,0.65,0.57,0.77,1.0,0.65,0.48,0.82,0.77,0.84,0.76,1.0,1.0,0.67,0.76,0.78,0.73,0.78,0.96,1.0,1.0,0.72,0.88,0.86,1.0,0.8,0.79,0.63,0.47,1.0,0.92,0.61,0.77,0.76,1.0,0.69,0.54,0.87,0.83,0.57,0.64,1.0,1.0,1.0,0.83,0.74,0.71,0.86,0.99,1.0,0.88
udhr,10,100,short-text,false,NaN,0.97,0.6,1.0,NaN,0.82,0.63,0.72,1.0,0.56,0.63,0.79,0.78,0.82,0.76,1.0,1.0,1.0,0.9,0.84,0.7,0.67,0.96,NaN,1.0,0.71,0.85,0.82,1.0,NaN,NaN,0.72,0.49,1.0,0.9,0.48,0.77,0.75,NaN,NaN,NaN,NaN,0.83,0.58,NaN,1.0,1.0,1.0,0.82,0.77,0.75,0.84,0.99,1.0,0.89
udhr,10,100,short-text,true,NaN,0.97,0.6,1.0,0.53,0.82,0.62,0.71,1.0,0.55,0.61,0.79,0.78,0.82,0.71,1.0,1.0,1.0,0.9,0.83,0.7,0.66,0.96,NaN,1.0,0.71,0.85,0.82,1.0,NaN,NaN,0.72,0.48,1.0,0.9,0.47,0.77,0.75,1.0,NaN,NaN,NaN,0.83,0.57,NaN,1.0,1.0,1.0,0.82,0.77,0.75,0.84,0.99,1.0,0.89
udhr,20,100,,false,NaN,1.0,0.76,1.0,NaN,0.99,0.82,0.93,1.0,0.91,0.91,0.98,0.87,0.93,0.93,1.0,1.0,1.0,0.99,0.96,0.97,0.99,0.99,NaN,1.0,0.93,0.99,0.96,1.0,NaN,NaN,0.88,0.75,1.0,0.99,0.83,0.94,0.84,NaN,NaN,NaN,NaN,0.97,0.78,NaN,1.0,1.0,1.0,0.94,0.95,0.93,0.97,1.0,1.0,0.96
udhr,20,100,,true,0.81,1.0,0.76,1.0,NaN,0.89,0.8,0.92,1.0,0.9,0.91,0.97,0.87,0.93,0.93,1.0,1.0,0.85,0.86,0.95,0.96,0.99,0.99,1.0,1.0,0.93,0.98,0.96,1.0,0.9,0.9,0.74,0.74,1.0,0.98,0.83,0.94,0.84,NaN,0.92,0.78,0.99,0.97,0.78,0.93,1.0,1.0,1.0,0.94,0.95,0.93,0.97,1.0,1.0,0.96
udhr,20,100,merged-average,false,NaN,0.99,0.84,1.0,NaN,0.95,0.81,0.92,1.0,0.88,0.92,0.98,0.88,0.92,0.94,1.0,1.0,1.0,0.99,0.97,0.96,0.99,1.0,NaN,1.0,0.93,0.97,0.94,1.0,NaN,NaN,0.92,0.8,1.0,0.98,0.78,0.94,0.8,NaN,NaN,NaN,NaN,0.96,0.73,NaN,1.0,1.0,1.0,0.95,0.95,0.93,0.98,1.0,1.0,0.98
udhr,20,100,merged-average,true,0.77,0.99,0.84,1.0,0.73,0.85,0.79,0.91,1.0,0.86,0.91,0.97,0.88,0.92,0.94,1.0,1.0,0.79,0.92,0.97,0.95,0.99,1.0,1.0,1.0,0.93,0.97,0.94,1.0,0.91,0.92,0.79,0.8,1.0,0.98,0.76,0.94,0.8,1.0,0.84,0.71,0.97,0.96,0.73,0.93,1.0,1.0,1.0,0.95,0.95,0.93,0.98,1.0,1.0,0.98
udhr,20,100,short-text,false,NaN,0.99,0.91,1.0,NaN,0.96,0.79,0.93,1.0,0.8,0.91,0.96,0.83,0.93,0.95,1.0,1.0,1.0,0.99,0.98,0.91,0.98,1.0,NaN,1.0,0.93,0.97,0.93,1.0,NaN,NaN,0.89,0.76,1.0,0.98,0.69,0.95,0.77,NaN,NaN,NaN,NaN,0.96,0.73,NaN,1.0,1.0,1.0,0.92,0.94,0.93,0.98,1.0,1.0,0.98
udhr,20,100,short-text,true,NaN,0.99,0.91,1.0,0.85,0.96,0.79,0.93,1.0,0.78,0.89,0.96,0.83,0.93,0.92,1.0,1.0,1.0,0.99,0.98,0.91,0.98,1.0,NaN,1.0,0.93,0.97,0.93,1.0,NaN,NaN,0.89,0.76,1.0,0.98,0.69,0.95,0.77,1.0,NaN,NaN,NaN,0.96,0.73,NaN,1.0,1.0,1.0,0.92,0.94,0.93,0.98,1.0,1.0,0.98
udhr,50,100,,false,NaN,1.0,0.91,1.0,NaN,1.0,0.94,1.0,1.0,1.0,0.95,1.0,0.98,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,0.99,1.0,NaN,NaN,1.0,0.85,1.0,1.0,0.97,1.0,1.0,NaN,NaN,NaN,NaN,0.99,0.98,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,50,100,,true,1.0,1.0,0.91,1.0,NaN,0.98,0.94,1.0,1.0,1.0,0.95,1.0,0.98,0.99,1.0,1.0,1.0,0.97,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.99,0.99,0.9,0.85,1.0,1.0,0.97,1.0,1.0,NaN,1.0,0.89,1.0,0.99,0.98,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,50,100,merged-average,false,NaN,1.0,0.92,1.0,NaN,1.0,0.92,1.0,1.0,1.0,0.98,1.0,0.98,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,0.99,1.0,NaN,NaN,1.0,0.87,1.0,1.0,0.93,1.0,1.0,NaN,NaN,NaN,NaN,0.99,0.98,NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,50,100,merged-average,true,0.97,1.0,0.92,1.0,0.96,0.97,0.92,1.0,1.0,1.0,0.98,1.0,0.98,0.99,1.0,1.0,1.0,0.92,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.91,0.87,1.0,1.0,0.93,1.0,1.0,1.0,0.98,0.86,1.0,0.99,0.98,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
udhr,50,100,short-text,false,NaN,1.0,0.93,1.0,NaN,1.0,0.91,1.0,1.0,0.98,1.0,1.0,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,0.98,1.0,NaN,NaN,1.0,0.88,1.0,1.0,0.84,1.0,1.0,NaN,NaN,NaN,NaN,1.0,0.98,NaN,1.0,1.0,1.0,0.99,0.99,1.0,1.0,1.0,1.0,1.0
udhr,50,100,short-text,true,NaN,1.0,0.93,1.0,0.99,1.0,0.91,1.0,1.0,0.98,0.99,1.0,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,0.98,1.0,NaN,NaN,1.0,0.88,1.0,1.0,0.84,1.0,1.0,1.0,NaN,NaN,NaN,1.0,0.98,NaN,1.0,1.0,1.0,0.99,0.99,1.0,1.0,1.0,1.0,1.0
